Date,Timestamp,Client Address,Event,Filename,Status
2024-10-05,06:46:17.580365,"('127.0.0.1', 52666)",New connection
2024-10-05,06:46:17.902310,"('127.0.0.1', 52666)",Auth,"UserOne,:password",Unsuccessful
2024-10-05,06:46:32.273831,"('127.0.0.1', 38322)",New connection
2024-10-05,06:46:32.276411,"('127.0.0.1', 38322)",Auth,"UserOne,:password1",Successful
2024-10-05,06:46:45.860133,"('127.0.0.1', 46536)",New connection
2024-10-05,06:46:45.868052,"('127.0.0.1', 46536)",Get File Names
2024-10-05,06:46:58.442783,"('127.0.0.1', 36398)",New connection
2024-10-05,06:46:58.514387,"('127.0.0.1', 36398)",Upload,Hello.txt,Successful
2024-10-05,06:47:11.715972,"('127.0.0.1', 58812)",New connection
2024-10-05,06:47:11.720364,"('127.0.0.1', 58812)",Get File Names
2024-10-05,06:47:28.610400,"('127.0.0.1', 35664)",New connection
2024-10-05,06:47:28.627629,"('127.0.0.1', 35664)",Download,seclist.txtv,File not found
2024-10-05,06:47:36.666302,"('127.0.0.1', 34068)",New connection
2024-10-05,06:47:36.716310,"('127.0.0.1', 34068)",Download,seclist.txt,Successful
